Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997860000012
FDW14,OUT017,1435.9121343749996
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890879999997
FDH56,OUT046,1922.1493817142846
FDL48,OUT018,713.8586545454543
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1879.2570116129032
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.1493817142846
FDQ56,OUT045,1435.9121343749996
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454543
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.004904950495
DRC12,OUT018,2893.8398258992797
NCM42,OUT027,3242.062071532849
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.4820818181819
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.519725984254
FDE21,OUT035,1922.1493817142846
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.8398258992797
NCR06,OUT018,507.04640366972467
FDU31,OUT027,5329.314724444446
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444446
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181819
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.25244
FDY19,OUT010,281.4820818181819
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1649.2997860000012
FDR14,OUT010,165.91858165137626
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.29577518248
FDU34,OUT046,1987.2510486486485
DRH11,OUT046,935.0323883040941
FDM03,OUT013,1461.8437959999992
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444446
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.04640366972467
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1435.9121343749996
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3643.519725984254
NCY42,OUT027,3242.062071532849
FDR07,OUT017,1573.0706258064513
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.3003068965527
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.062559154928
NCG06,OUT045,4034.3003068965527
DRC36,OUT045,3259.562084905661
FDV21,OUT019,281.4820818181819
FDB53,OUT046,3053.099877777779
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.099877777779
DRC24,OUT035,2644.4778427083347
FDW21,OUT018,1372.6884907407418
NCH29,OUT046,1682.2122382352934
FDU58,OUT013,2893.8398258992797
FDY27,OUT017,2552.005235185186
FDV56,OUT035,1682.2122382352934
FDT59,OUT046,3945.432567213115
FDB23,OUT046,3945.432567213115
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993017
FDX02,OUT027,5329.314724444446
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407418
NCT29,OUT013,1987.2510486486485
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.2007980000008
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.7897668711655
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1461.8437959999992
FDZ25,OUT017,3053.099877777779
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.69954262295084
NCC43,OUT027,6280.890879999997
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.89728372093043
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137626
FDE28,OUT027,6280.890879999997
FDO27,OUT035,1879.2570116129032
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040941
FDX24,OUT013,1435.9121343749996
FDZ02,OUT035,1682.2122382352934
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444446
NCO06,OUT017,583.8145788617887
FDO16,OUT035,1435.9121343749996
FDC60,OUT049,1458.4550080536915
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444446
