Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631829
FDW14,OUT017,1579.6253027776615
NCN55,OUT010,1888.4466009137668
FDQ58,OUT017,2609.3137272366293
FDY38,OUT027,5179.2285411815665
FDH56,OUT046,1915.7034715959371
FDL48,OUT018,596.7354505402238
FDC48,OUT027,2777.8289439134196
FDN33,OUT045,1510.366287529721
FDA36,OUT017,3079.223224562995
FDT44,OUT017,1997.2632212322846
FDQ56,OUT045,1306.6609009702454
NCC54,OUT019,1849.4183804332793
FDU11,OUT049,2045.704356267925
DRL59,OUT013,888.777463664358
FDM24,OUT049,2558.807389498717
FDI57,OUT045,3088.6609293877664
DRC12,OUT018,2764.9271869836502
NCM42,OUT027,3192.4117716776623
FDA46,OUT010,1133.6542605248728
FDA31,OUT013,2798.8125418091417
NCJ31,OUT035,3878.410998597325
FDG52,OUT046,803.887076058185
NCL19,OUT019,376.0172497194493
FDS10,OUT035,3027.566267733812
FDX22,OUT010,1448.8065604230837
NCF19,OUT035,915.0755485850152
NCE06,OUT046,2527.742930338447
DRC27,OUT046,3843.227970173738
FDE21,OUT035,2025.286259991512
NCR42,OUT019,-1357.7069058385625
FDX51,OUT018,2863.2151448363966
NCR06,OUT018,429.35093945817016
FDU31,OUT027,4940.216761876465
FDU59,OUT017,2712.280175799802
FDR03,OUT027,4767.686665185396
FDS49,OUT027,2760.7259864725215
FDD48,OUT010,-73.36090656101692
NCF18,OUT017,3110.833640587483
NCD43,OUT027,3099.63403651743
NCD54,OUT018,1989.8563495209642
FDY19,OUT010,-36.06339587893376
NCY54,OUT017,2810.908057154351
NCL19,OUT018,2023.2093677862872
FDP23,OUT010,1533.6166043585104
FDC26,OUT013,1817.9674511371973
FDR14,OUT010,-1040.0940098916408
NCS41,OUT035,3035.7207024356476
FDF41,OUT035,4041.784747578605
FDU34,OUT046,2002.5747895507789
DRH11,OUT046,919.7377052008715
FDM03,OUT013,1764.0522299698137
FDS31,OUT017,3048.941452099115
FDJ20,OUT017,2092.0319993555827
FDV44,OUT027,4494.507284749443
FDG02,OUT049,3102.747648811826
FDA09,OUT013,2910.723655975797
FDT04,OUT013,690.7840585876089
FDL58,OUT019,2294.2661794057085
FDE52,OUT045,1455.7573488698547
FDW12,OUT035,2503.7110938889823
FDL51,OUT017,3549.1249498970164
NCY42,OUT027,3687.339329815462
FDR07,OUT017,1658.6860659530848
FDN40,OUT045,2374.4085352650222
FDB35,OUT027,2949.765633516447
FDA22,OUT017,2742.2405489305843
NCL06,OUT046,4110.960229322831
FDI35,OUT013,2917.449486934726
NCW42,OUT045,3411.811376974645
NCX06,OUT049,2934.6577965673455
FDC37,OUT027,3192.972882959283
FDZ14,OUT018,1727.6782435077207
DRG49,OUT049,3947.422877724854
NCG06,OUT045,3959.9775236510764
DRC36,OUT045,2721.4826507172697
FDV21,OUT019,61.84345548915621
FDB53,OUT046,2359.187118921328
DRP47,OUT019,2042.0399937840189
FDA14,OUT013,2352.9542704013124
DRC24,OUT035,2568.014257678103
FDW21,OUT018,1414.2307356969975
NCH29,OUT046,1556.3664567155192
FDU58,OUT013,3079.4614083115607
FDY27,OUT017,2946.138328911925
FDV56,OUT035,1948.6696161737204
FDT59,OUT046,3656.4986980289627
FDB23,OUT046,3621.786301970977
FDR49,OUT045,698.2293255207413
FDB03,OUT010,1908.5640273229233
FDN39,OUT045,2617.7489636727937
FDX02,OUT027,4985.386547931819
FDQ16,OUT027,3188.6206772988244
FDU35,OUT018,1341.913636121148
NCT29,OUT013,1957.4402211813408
FDZ27,OUT046,830.1602370792871
FDN57,OUT017,2345.9125066000806
FDA03,OUT018,2099.1734614197594
FDZ36,OUT045,2920.139170235893
NCU05,OUT013,1322.2269737111064
FDT39,OUT018,2179.964202728219
FDK60,OUT017,1722.7067997392685
FDZ25,OUT017,2857.677216028898
FDG12,OUT046,2037.0365417758453
DRB01,OUT019,1127.0823415153059
NCC43,OUT027,5377.826340261958
FDX13,OUT019,2035.6506729073462
FDM22,OUT049,1028.1974819986553
FDJ03,OUT027,2306.359263039371
FDU14,OUT018,3678.0507022082566
FDB33,OUT010,624.7853673560504
FDP27,OUT046,3005.2855126936765
FDO38,OUT010,-669.6718016595455
FDE28,OUT027,5152.78804427566
FDO27,OUT035,1701.4368266255328
DRL23,OUT027,3166.741731017831
FDS28,OUT046,963.0151564768155
FDX24,OUT013,1547.7067224619095
FDZ02,OUT035,1746.6568125826927
FDL46,OUT045,1812.4663270003373
FDS60,OUT027,4294.987836984928
NCO06,OUT017,635.5627003641796
FDO16,OUT035,1527.6967674370353
FDC60,OUT049,1538.204409446815
FDA48,OUT018,3199.4331643135597
FDZ36,OUT027,4452.523478315365
FDK27,OUT045,1877.2788485667074
FDW23,OUT018,378.3928512197374
FDM14,OUT018,1509.8954537273537
FDM14,OUT013,1787.4337248224228
FDW60,OUT018,2603.2340337991936
FDE21,OUT013,1909.995318558943
NCM42,OUT035,1881.6465228828756
FDY59,OUT010,-372.4832399242491
DRI49,OUT049,1380.771937899378
FDT28,OUT019,510.4407340271333
FDQ22,OUT018,408.8303423499449
FDR60,OUT049,1335.1034714189896
FDC50,OUT019,-393.41114387129505
FDV24,OUT013,2457.756736476991
DRF48,OUT010,1026.2896139762324
FDQ47,OUT046,638.5136151047287
DRN36,OUT049,1662.9143151082728
NCY06,OUT035,2173.639404737067
FDE52,OUT035,1658.904502301668
NCB54,OUT045,1936.7469199699926
NCF31,OUT035,2548.255450535326
FDJ08,OUT027,4448.179903782822
NCC07,OUT017,1786.8726880922952
NCD19,OUT027,2357.6662906909205
FDL46,OUT049,2012.1464187049924
FDM20,OUT045,3834.1883682189605
NCI06,OUT010,918.4146327274982
DRM11,OUT035,4219.636613283255
NCH07,OUT018,2205.8436782728227
FDS23,OUT013,2083.0715871468938
FDO49,OUT018,599.262355166132
FDS35,OUT049,1164.079027449397
DRK39,OUT045,1276.4686936433206
DRI39,OUT049,1036.6408876656924
FDV04,OUT017,2639.3072133187125
NCN14,OUT035,3008.739652001104
FDH08,OUT013,3688.2790116376573
FDS20,OUT046,2911.071250556875
FDV40,OUT049,1357.2054694075116
FDZ48,OUT010,-140.38081641832082
FDS24,OUT027,2910.495408930042
FDK44,OUT049,2861.5291336355713
FDS48,OUT045,2343.025157074019
FDK26,OUT010,1104.7808860482041
FDD23,OUT045,2971.9768193283985
NCH54,OUT017,2636.296363787184
NCP14,OUT010,-248.75873716526098
FDM60,OUT010,-1182.751510561889
FDV24,OUT017,2522.517392632408
FDH08,OUT018,3345.345106455224
FDS12,OUT027,3463.2209514351675
FDR39,OUT027,4318.266187086681
FDP12,OUT027,2124.9411649499075
DRF60,OUT027,5187.3437857726185
FDC09,OUT035,1848.3088412471843
FDF50,OUT018,2887.3629552343214
FDG28,OUT035,4054.644916958477
NCE19,OUT017,983.1758168064707
NCM53,OUT010,-199.5754125092476
NCN18,OUT049,1850.1700920286544
FDF32,OUT035,3316.701807217956
FDF11,OUT013,3872.0117201419334
DRI59,OUT049,3662.235810868606
NCG54,OUT035,2811.0667839730327
FDM44,OUT046,1636.954104353398
FDT57,OUT018,3465.223524849145
FDV24,OUT046,2417.7674175866946
FDI50,OUT019,1769.677982295385
FDS09,OUT035,1033.7263102436168
NCC31,OUT027,3895.297017566723
FDQ07,OUT019,1596.8749121587834
FDC22,OUT017,3171.2668006663826
FDZ56,OUT046,2695.565582207293
FDZ40,OUT019,-1001.4129627259873
FDS46,OUT027,3393.2523066436142
DRD24,OUT045,2162.212884214966
FDV45,OUT017,3106.209095684116
FDL26,OUT045,2418.3888934615375
FDA56,OUT018,1706.2200422318865
FDN27,OUT046,1918.6301710706607
FDM20,OUT049,3981.540845506986
FDO16,OUT017,1458.5061132029477
FDL03,OUT035,3302.176664327378
FDE58,OUT046,1910.4939879624685
FDI02,OUT027,3288.0051643178435
NCC55,OUT019,-1234.9709625315904
FDR03,OUT018,3051.7890876634815
FDB14,OUT017,1641.0966094567937
FDR45,OUT013,3851.0380632241113
NCN07,OUT017,2156.8619605594085
FDM51,OUT019,-182.12547213125572
FDT52,OUT027,5361.346311252992
FDL26,OUT046,2463.184288409797
NCZ42,OUT046,3763.9947069380596
DRI47,OUT019,416.1436510774903
FDW40,OUT013,2317.5823188118443
FDN34,OUT046,2741.2158557100192
FDS01,OUT035,2988.2227219835854
NCG55,OUT045,1789.8945544249964
FDC11,OUT035,1548.8170241423823
FDX35,OUT018,3341.4261159537364
NCB06,OUT046,2519.3004883316353
FDR09,OUT019,2188.8130371626767
FDC53,OUT017,1675.5069024369088
FDY45,OUT013,4072.981813305925
FDA22,OUT010,767.4054960112618
FDE02,OUT035,1671.8870784737114
FDW21,OUT045,1625.658800786172
FDV34,OUT046,1254.3316160349675
FDS59,OUT049,1894.0940441326875
NCW17,OUT017,2129.9867075300153
NCK54,OUT046,1925.7426090531408
FDG17,OUT019,2008.8532616356488
FDG35,OUT017,2912.036412969122
FDD08,OUT010,-1267.521404857563
NCO07,OUT017,3427.5729736931335
FDJ10,OUT010,362.698037178283
FDW36,OUT017,1779.224000580751
FDW21,OUT010,-266.6893036460217
FDY19,OUT017,2001.4903138400127
DRE03,OUT013,811.717077416981
NCC55,OUT049,737.21491188568
FDH52,OUT010,-817.7089413151484
FDO09,OUT017,4312.740125607694
FDU43,OUT045,3764.098658778336
FDX09,OUT010,855.5753466153415
FDH40,OUT019,-521.0125802580799
FDW58,OUT017,1805.4398573935446
FDC47,OUT017,3678.609804928783
NCR41,OUT035,1667.891888290483
DRG49,OUT035,3986.157991573125
FDC52,OUT027,3936.910004146332
FDY13,OUT046,1223.316760066653
FDY35,OUT013,820.2630670884917
FDI35,OUT017,2997.7735330691844
NCU18,OUT049,2324.095506993589
FDY33,OUT018,2287.3952569713624
FDC15,OUT027,3932.222783112296
FDU01,OUT049,3115.05349719414
NCU42,OUT046,2680.681002105852
NCV29,OUT018,2526.8976966282085
NCY30,OUT017,2985.0071908439368
FDQ46,OUT049,1894.8751837405675
FDG58,OUT027,3943.647622559188
FDK33,OUT017,3485.2771766393457
NCD07,OUT045,1791.5043666522497
NCX29,OUT027,3714.963919515904
NCT42,OUT013,2374.0715503277893
DRN59,OUT035,914.1742929761983
FDI44,OUT035,1427.4720052622079
FDA45,OUT049,2923.2471656010734
FDP31,OUT045,1035.5110497306846
FDY01,OUT046,1870.6788073911111
FDT09,OUT018,1901.6195955708677
DRH03,OUT027,2977.0362102390836
FDA36,OUT018,2696.4332508298976
NCF31,OUT017,2519.4641843270147
FDG14,OUT049,2557.4328944082854
FDG28,OUT027,5385.588689713799
FDU14,OUT049,4061.49520766066
FDY47,OUT019,246.56167445924677
FDI56,OUT049,1549.4672332942416
DRD01,OUT013,989.6789580680631
FDM22,OUT046,961.0647901882162
FDH33,OUT013,738.4168045052824
DRZ24,OUT013,1927.9061053429873
NCQ38,OUT046,1676.0061134648574
FDO16,OUT027,2824.445741344583
FDU07,OUT027,3828.7708117537986
NCB07,OUT013,3081.9958192766153
FDU48,OUT045,2041.8316391533403
NCM43,OUT045,2534.5520285405887
FDR31,OUT010,426.3000111730381
DRK49,OUT018,416.78421736489804
NCI30,OUT010,1914.8573248676112
DRD60,OUT017,2966.683162037265
NCG19,OUT046,3676.3408189801485
FDH12,OUT035,1825.4123181535347
FDM32,OUT035,1652.1512066405126
FDM27,OUT035,2656.468043828718
NCU53,OUT027,4067.841328408394
NCQ18,OUT046,1554.7383375692104
FDS10,OUT013,2888.9359479927116
FDB33,OUT027,3962.3334162066653
FDI12,OUT013,1461.170969905026
NCW42,OUT013,3507.497321761919
NCC06,OUT018,1757.1139064221347
FDW02,OUT017,2171.885524502155
NCD43,OUT017,1766.3876433464116
FDM57,OUT018,1108.771420463996
FDA58,OUT017,3851.985522104245
FDK56,OUT046,2938.4332260014407
FDP52,OUT045,3632.7272171956824
FDW20,OUT018,1726.232365949575
FDS52,OUT049,1724.8751261212824
NCT29,OUT018,1614.4692403095644
NCL54,OUT013,2832.5798535884587
FDC05,OUT045,3105.691045554474
FDF34,OUT035,3314.8765855016154
FDP03,OUT027,3486.361771722998
FDD32,OUT010,-511.51324548302256
FDZ10,OUT045,1981.2900916824037
FDZ40,OUT035,1043.6115069571251
FDD51,OUT018,464.15746074369076
NCY30,OUT019,938.1066041829681
FDP58,OUT017,3541.3987776838308
FDV49,OUT017,4279.582950340742
FDY24,OUT019,-995.8182946005132
NCO55,OUT017,1788.2171468345962
FDR13,OUT017,2019.032693741111
FDS51,OUT017,1136.8036924161281
FDP26,OUT045,1617.5604885192636
NCB54,OUT027,3491.1835100517105
FDF32,OUT017,3244.4379722766307
FDN31,OUT018,2720.3864666048535
DRM48,OUT017,692.8386511357276
FDN20,OUT049,2801.310047491067
DRL01,OUT046,3710.75804765564
FDV56,OUT049,1875.7350877694553
DRH13,OUT027,3174.008801467454
FDA03,OUT017,2478.851399520006
FDF47,OUT027,4988.008461260606
FDX32,OUT046,2375.700541892618
FDX57,OUT049,1709.0865366795506
NCA30,OUT045,2918.577305136445
FDO49,OUT013,909.4839711372854
FDL04,OUT019,-225.69240938882103
DRM48,OUT035,752.8237332079831
FDR16,OUT013,3429.5888883515686
NCC19,OUT018,2746.413361060261
NCE42,OUT045,3644.3724736472736
FDY24,OUT017,1048.8940100823286
FDH19,OUT049,2890.962622058455
FDJ46,OUT013,2805.1194302463523
FDN45,OUT010,1614.5430476611696
