Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.432312918662
FDW14,OUT017,1364.0491539906102
NCN55,OUT010,542.9755395973151
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.4309598591553
FDL48,OUT018,754.5960957264964
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1554.007075641026
FDA36,OUT017,3087.507511282053
FDT44,OUT017,1874.4309598591553
FDQ56,OUT045,1364.0491539906102
NCC54,OUT019,542.9755395973151
FDU11,OUT049,2054.2157066202094
DRL59,OUT013,754.5960957264964
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.9695613636377
DRC12,OUT018,2880.9695613636377
NCM42,OUT027,3175.335988157897
FDA46,OUT010,542.9755395973151
FDA31,OUT013,2736.9684298755187
NCJ31,OUT035,3593.1412351254485
FDG52,OUT046,754.5960957264964
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636377
FDX22,OUT010,542.9755395973151
NCF19,OUT035,754.5960957264964
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4109.900606217618
FDE21,OUT035,1874.4309598591553
NCR42,OUT019,130.33349056603774
FDX51,OUT018,3087.507511282053
NCR06,OUT018,637.5735090128757
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636377
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.4076790419167
NCL19,OUT018,2346.6487869387774
FDP23,OUT010,542.9755395973151
FDC26,OUT013,1722.3316111731845
FDR14,OUT010,130.33349056603774
NCS41,OUT035,3389.2269793548357
FDF41,OUT035,3593.1412351254485
FDU34,OUT046,2054.2157066202094
DRH11,OUT046,876.32057979798
FDM03,OUT013,1722.3316111731845
FDS31,OUT017,3389.2269793548357
FDJ20,OUT017,2054.2157066202094
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3087.507511282053
FDA09,OUT013,2736.9684298755187
FDT04,OUT013,637.5735090128757
FDL58,OUT019,542.9755395973151
FDE52,OUT045,1364.0491539906102
FDW12,OUT035,2384.015126168224
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3175.335988157897
FDR07,OUT017,1554.007075641026
FDN40,OUT045,2384.015126168224
FDB35,OUT027,2513.079854666667
FDA22,OUT017,2384.015126168224
NCL06,OUT046,4333.891515923566
FDI35,OUT013,3389.2269793548357
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2736.9684298755187
FDC37,OUT027,3175.335988157897
FDZ14,OUT018,1936.508247826087
DRG49,OUT049,3593.1412351254485
NCG06,OUT045,4105.140110975611
DRC36,OUT045,2997.4076790419167
FDV21,OUT019,286.41777051282054
FDB53,OUT046,2539.394235877862
DRP47,OUT019,542.9755395973151
FDA14,OUT013,2346.6487869387774
DRC24,OUT035,2539.394235877862
FDW21,OUT018,1509.432312918662
NCH29,OUT046,1554.007075641026
FDU58,OUT013,3087.507511282053
FDY27,OUT017,2736.9684298755187
FDV56,OUT035,1722.3316111731845
FDT59,OUT046,4109.900606217618
FDB23,OUT046,3753.0000993630574
FDR49,OUT045,754.5960957264964
FDB03,OUT010,542.9755395973151
FDN39,OUT045,2811.181403212852
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157897
FDU35,OUT018,1509.432312918662
NCT29,OUT013,1936.508247826087
FDZ27,OUT046,754.5960957264964
FDN57,OUT017,2054.2157066202094
FDA03,OUT018,2346.6487869387774
FDZ36,OUT045,3389.2269793548357
NCU05,OUT013,1248.2233455555563
FDT39,OUT018,2346.6487869387774
FDK60,OUT017,1554.007075641026
FDZ25,OUT017,2811.181403212852
FDG12,OUT046,2202.2990201117295
DRB01,OUT019,542.9755395973151
NCC43,OUT027,5669.163351428568
FDX13,OUT019,542.9755395973151
FDM22,OUT049,876.32057979798
FDJ03,OUT027,1378.2631852760746
FDU14,OUT018,3327.952582926828
FDB33,OUT010,384.48867398374006
FDP27,OUT046,3087.507511282053
FDO38,OUT010,130.33349056603774
FDE28,OUT027,5669.163351428568
FDO27,OUT035,1554.007075641026
DRL23,OUT027,3175.335988157897
FDS28,OUT046,876.32057979798
FDX24,OUT013,1248.2233455555563
FDZ02,OUT035,1554.007075641026
FDL46,OUT045,1874.4309598591553
FDS60,OUT027,5669.163351428568
NCO06,OUT017,552.5502107784429
FDO16,OUT035,1364.0491539906102
FDC60,OUT049,1443.524701863354
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5669.163351428568
FDK27,OUT045,2202.2990201117295
FDW23,OUT018,637.5735090128757
FDM14,OUT018,1509.432312918662
FDM14,OUT013,1722.3316111731845
FDW60,OUT018,2736.9684298755187
FDE21,OUT013,1874.4309598591553
NCM42,OUT035,1722.3316111731845
FDY59,OUT010,230.00859181286563
DRI49,OUT049,1248.2233455555563
FDT28,OUT019,384.48867398374006
FDQ22,OUT018,637.5735090128757
FDR60,OUT049,1248.2233455555563
FDC50,OUT019,230.00859181286563
FDV24,OUT013,2346.6487869387774
DRF48,OUT010,542.9755395973151
FDQ47,OUT046,552.5502107784429
DRN36,OUT049,1509.432312918662
NCY06,OUT035,2054.2157066202094
FDE52,OUT035,1364.0491539906102
NCB54,OUT045,2054.2157066202094
NCF31,OUT035,2539.394235877862
FDJ08,OUT027,5669.163351428568
NCC07,OUT017,1722.3316111731845
NCD19,OUT027,1378.2631852760746
FDL46,OUT049,1874.4309598591553
FDM20,OUT045,4109.900606217618
NCI06,OUT010,384.48867398374006
DRM11,OUT035,4333.891515923566
NCH07,OUT018,2346.6487869387774
FDS23,OUT013,1936.508247826087
FDO49,OUT018,754.5960957264964
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1364.0491539906102
DRI39,OUT049,876.32057979798
FDV04,OUT017,2384.015126168224
NCN14,OUT035,2880.9695613636377
FDH08,OUT013,4109.900606217618
FDS20,OUT046,3389.2269793548357
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,230.00859181286563
FDS24,OUT027,2513.079854666667
FDK44,OUT049,2997.4076790419167
FDS48,OUT045,2539.394235877862
FDK26,OUT010,542.9755395973151
FDD23,OUT045,3087.507511282053
NCH54,OUT017,2811.181403212852
NCP14,OUT010,230.00859181286563
FDM60,OUT010,130.33349056603774
FDV24,OUT017,2384.015126168224
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3175.335988157897
FDR39,OUT027,5669.163351428568
FDP12,OUT027,1378.2631852760746
DRF60,OUT027,5669.163351428568
FDC09,OUT035,1722.3316111731845
FDF50,OUT018,3087.507511282053
FDG28,OUT035,4109.900606217618
NCE19,OUT017,876.32057979798
NCM53,OUT010,230.00859181286563
NCN18,OUT049,1509.432312918662
FDF32,OUT035,3087.507511282053
FDF11,OUT013,4109.900606217618
DRI59,OUT049,3753.0000993630574
NCG54,OUT035,2811.181403212852
FDM44,OUT046,1722.3316111731845
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2384.015126168224
FDI50,OUT019,542.9755395973151
FDS09,OUT035,754.5960957264964
NCC31,OUT027,4117.317712631578
FDQ07,OUT019,542.9755395973151
FDC22,OUT017,3087.507511282053
FDZ56,OUT046,2811.181403212852
FDZ40,OUT019,130.33349056603774
FDS46,OUT027,3175.335988157897
DRD24,OUT045,2202.2990201117295
FDV45,OUT017,3087.507511282053
FDL26,OUT045,2539.394235877862
FDA56,OUT018,1936.508247826087
FDN27,OUT046,1874.4309598591553
FDM20,OUT049,4109.900606217618
FDO16,OUT017,1364.0491539906102
FDL03,OUT035,2880.9695613636377
FDE58,OUT046,1874.4309598591553
FDI02,OUT027,3175.335988157897
NCC55,OUT019,130.33349056603774
FDR03,OUT018,3327.952582926828
FDB14,OUT017,1364.0491539906102
FDR45,OUT013,4109.900606217618
NCN07,OUT017,2202.2990201117295
FDM51,OUT019,230.00859181286563
FDT52,OUT027,5669.163351428568
FDL26,OUT046,2539.394235877862
NCZ42,OUT046,4109.900606217618
DRI47,OUT019,384.48867398374006
FDW40,OUT013,1936.508247826087
FDN34,OUT046,2811.181403212852
FDS01,OUT035,2736.9684298755187
NCG55,OUT045,1874.4309598591553
FDC11,OUT035,1364.0491539906102
FDX35,OUT018,3327.952582926828
NCB06,OUT046,2811.181403212852
FDR09,OUT019,542.9755395973151
FDC53,OUT017,1554.007075641026
FDY45,OUT013,4105.140110975611
FDA22,OUT010,384.48867398374006
FDE02,OUT035,1554.007075641026
FDW21,OUT045,1722.3316111731845
FDV34,OUT046,1103.1862133333336
FDS59,OUT049,1509.432312918662
NCW17,OUT017,2202.2990201117295
NCK54,OUT046,1874.4309598591553
FDG17,OUT019,542.9755395973151
FDG35,OUT017,2997.4076790419167
FDD08,OUT010,130.33349056603774
NCO07,OUT017,3753.0000993630574
FDJ10,OUT010,286.41777051282054
FDW36,OUT017,1722.3316111731845
FDW21,OUT010,230.00859181286563
FDY19,OUT017,1874.4309598591553
DRE03,OUT013,754.5960957264964
NCC55,OUT049,637.5735090128757
FDH52,OUT010,130.33349056603774
FDO09,OUT017,4105.140110975611
FDU43,OUT045,4109.900606217618
FDX09,OUT010,384.48867398374006
FDH40,OUT019,230.00859181286563
FDW58,OUT017,1722.3316111731845
FDC47,OUT017,3593.1412351254485
NCR41,OUT035,1554.007075641026
DRG49,OUT035,3593.1412351254485
FDC52,OUT027,4117.317712631578
FDY13,OUT046,1103.1862133333336
FDY35,OUT013,637.5735090128757
FDI35,OUT017,3389.2269793548357
NCU18,OUT049,2054.2157066202094
FDY33,OUT018,2346.6487869387774
FDC15,OUT027,4117.317712631578
FDU01,OUT049,2880.9695613636377
NCU42,OUT046,2811.181403212852
NCV29,OUT018,2736.9684298755187
NCY30,OUT017,2880.9695613636377
FDQ46,OUT049,1509.432312918662
FDG58,OUT027,4117.317712631578
FDK33,OUT017,3753.0000993630574
NCD07,OUT045,1874.4309598591553
NCX29,OUT027,4117.317712631578
NCT42,OUT013,2346.6487869387774
DRN59,OUT035,754.5960957264964
FDI44,OUT035,1364.0491539906102
FDA45,OUT049,2736.9684298755187
FDP31,OUT045,1103.1862133333336
FDY01,OUT046,1874.4309598591553
FDT09,OUT018,1936.508247826087
DRH03,OUT027,2513.079854666667
FDA36,OUT018,3087.507511282053
NCF31,OUT017,2539.394235877862
FDG14,OUT049,2539.394235877862
FDG28,OUT027,5669.163351428568
FDU14,OUT049,4105.140110975611
FDY47,OUT019,286.41777051282054
FDI56,OUT049,1443.524701863354
DRD01,OUT013,876.32057979798
