Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.4860427560234
FDW14,OUT017,1591.7612740786335
NCN55,OUT010,1822.6726586170025
FDQ58,OUT017,2546.362959157395
FDY38,OUT027,5087.605400109227
FDH56,OUT046,1942.637130212251
FDL48,OUT018,680.8000272442437
FDC48,OUT027,2806.0427441358893
FDN33,OUT045,1541.2477558067728
FDA36,OUT017,3051.6757355410955
FDT44,OUT017,2004.9816551032457
FDQ56,OUT045,1358.1533406290996
NCC54,OUT019,1819.7081624356472
FDU11,OUT049,2076.7501933506505
DRL59,OUT013,963.7365800429811
FDM24,OUT049,2541.5716064996273
FDI57,OUT045,3047.575103091969
DRC12,OUT018,2726.5903317931266
NCM42,OUT027,3196.3220820943393
FDA46,OUT010,1129.086593209291
FDA31,OUT013,2782.853101628461
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.6967323629395
NCL19,OUT019,383.67497397229556
FDS10,OUT035,2986.404070313179
FDX22,OUT010,1453.270064260273
NCF19,OUT035,998.5313152811407
NCE06,OUT046,2519.829608866121
DRC27,OUT046,3768.666066789686
FDE21,OUT035,2044.9750562281508
NCR42,OUT019,-1251.1341145471408
FDX51,OUT018,2840.7076836527963
NCR06,OUT018,510.7134768810519
FDU31,OUT027,4872.6616182120215
FDU59,OUT017,2684.9378118546256
FDR03,OUT027,4667.8551828367545
FDS49,OUT027,2769.55214470211
FDD48,OUT010,-11.742853337761517
NCF18,OUT017,3083.509221364911
NCD43,OUT027,3104.4140854002517
NCD54,OUT018,2007.8274969877757
FDY19,OUT010,23.56811324654609
NCY54,OUT017,2783.241558967811
NCL19,OUT018,2023.5214175263477
FDP23,OUT010,1509.3653428274183
FDC26,OUT013,1848.579492075244
FDR14,OUT010,-931.0749455928523
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.33646645032
FDU34,OUT046,2004.5683173135997
DRH11,OUT046,984.1695289641905
FDM03,OUT013,1734.3034064058786
FDS31,OUT017,2964.8933269092495
FDJ20,OUT017,2116.752967896566
FDV44,OUT027,4427.784808962078
FDG02,OUT049,3080.32827140188
FDA09,OUT013,2877.9901004558046
FDT04,OUT013,743.8136889644151
FDL58,OUT019,2224.4305199227942
FDE52,OUT045,1472.2979119940558
FDW12,OUT035,2500.3276177548
FDL51,OUT017,3499.1716317514497
NCY42,OUT027,3669.354199459301
FDR07,OUT017,1704.386541104935
FDN40,OUT045,2341.9257898901233
FDB35,OUT027,2975.938723178917
FDA22,OUT017,2708.4019276470285
NCL06,OUT046,4020.093188584381
FDI35,OUT013,2889.386905085807
NCW42,OUT045,3358.986753706945
NCX06,OUT049,2926.3408466167148
FDC37,OUT027,3208.31548174124
FDZ14,OUT018,1759.3628553683423
DRG49,OUT049,3880.472044509629
NCG06,OUT045,3875.837440520004
DRC36,OUT045,2697.430348414642
FDV21,OUT019,89.20329367236593
FDB53,OUT046,2335.283600362811
DRP47,OUT019,1969.3600466199525
FDA14,OUT013,2346.3123118934714
DRC24,OUT035,2559.4368407748684
FDW21,OUT018,1431.141525256185
NCH29,OUT046,1574.1901419858764
FDU58,OUT013,3038.8499545102045
FDY27,OUT017,2888.586673528193
FDV56,OUT035,1978.6353753250971
FDT59,OUT046,3588.2190445169254
FDB23,OUT046,3557.5198981563976
FDR49,OUT045,760.3217983798756
FDB03,OUT010,1879.1002918477898
FDN39,OUT045,2601.008116477855
FDX02,OUT027,4893.539499114104
FDQ16,OUT027,3196.5764802810204
FDU35,OUT018,1349.3325726460916
NCT29,OUT013,1985.4074128544573
FDZ27,OUT046,871.1855531616717
FDN57,OUT017,2352.0259350435476
FDA03,OUT018,2095.9434563670675
FDZ36,OUT045,2892.910145545566
NCU05,OUT013,1378.5344023376736
FDT39,OUT018,2199.463258352248
FDK60,OUT017,1722.7099429732373
FDZ25,OUT017,2809.59873276324
FDG12,OUT046,1996.264166796809
DRB01,OUT019,1083.335780311959
NCC43,OUT027,5257.561572088322
FDX13,OUT019,1979.8573545982815
FDM22,OUT049,1099.9470861104887
FDJ03,OUT027,2354.422841288431
FDU14,OUT018,3604.68000054786
FDB33,OUT010,672.5769401362733
FDP27,OUT046,2975.1934067615766
FDO38,OUT010,-582.7923496414335
FDE28,OUT027,5039.5635892100145
FDO27,OUT035,1728.28472985136
DRL23,OUT027,3168.9509894147486
FDS28,OUT046,1027.0683487085098
FDX24,OUT013,1576.8218839850076
FDZ02,OUT035,1784.0734724042363
FDL46,OUT045,1839.25547448104
FDS60,OUT027,4250.409336238305
NCO06,OUT017,717.6465905641768
FDO16,OUT035,1575.6042405473029
FDC60,OUT049,1593.7200437221395
FDA48,OUT018,3143.3858700772057
FDZ36,OUT027,4385.028482398677
FDK27,OUT045,1908.428984261022
FDW23,OUT018,471.6325537035461
FDM14,OUT018,1541.182350809012
FDM14,OUT013,1815.3528147796876
FDW60,OUT018,2582.116252247469
FDE21,OUT013,1937.836744936774
NCM42,OUT035,1909.6295631404078
FDY59,OUT010,-325.27664244780567
DRI49,OUT049,1411.616461620154
FDT28,OUT019,537.207192321848
FDQ22,OUT018,492.451610447326
FDR60,OUT049,1379.3844046079032
FDC50,OUT019,-340.25310825444274
FDV24,OUT013,2420.169634351456
DRF48,OUT010,1114.8936484944256
FDQ47,OUT046,720.7024107545578
DRN36,OUT049,1683.4037250766814
NCY06,OUT035,2186.5456966803404
FDE52,OUT035,1667.7100348612548
NCB54,OUT045,1960.273423289847
NCF31,OUT035,2544.2467193331754
FDJ08,OUT027,4390.76265434792
NCC07,OUT017,1827.1444492907692
NCD19,OUT027,2337.0849311304037
FDL46,OUT049,2028.7564046335751
FDM20,OUT045,3747.4870288986035
NCI06,OUT010,943.0398761002458
DRM11,OUT035,4122.364533017647
NCH07,OUT018,2216.561537605648
FDS23,OUT013,2100.7278006301885
FDO49,OUT018,669.6110700121174
FDS35,OUT049,1217.2217140612688
DRK39,OUT045,1285.9726813735942
DRI39,OUT049,1099.9780065826935
FDV04,OUT017,2624.863110966566
NCN14,OUT035,2975.483390659307
FDH08,OUT013,3643.516715415976
FDS20,OUT046,2869.6655231483446
FDV40,OUT049,1379.9784542136158
FDZ48,OUT010,-86.89226142343932
FDS24,OUT027,2932.0148532120584
FDK44,OUT049,2828.497943221717
FDS48,OUT045,2339.1628031702326
FDK26,OUT010,1102.7134493698895
FDD23,OUT045,2937.0715590527207
NCH54,OUT017,2634.218337339125
NCP14,OUT010,-188.7688828344119
FDM60,OUT010,-1102.8992058263425
FDV24,OUT017,2476.404942163208
FDH08,OUT018,3307.1939714733776
FDS12,OUT027,3456.9008641950745
FDR39,OUT027,4257.419862283465
FDP12,OUT027,2172.111692841851
DRF60,OUT027,5054.8400351898
FDC09,OUT035,1883.5086627079045
FDF50,OUT018,2792.6310969882393
FDG28,OUT035,3949.8115523137794
NCE19,OUT017,1057.155358904009
NCM53,OUT010,-135.38119785417825
NCN18,OUT049,1869.1723657928887
FDF32,OUT035,3238.1001142024816
FDF11,OUT013,3794.3675501120706
DRI59,OUT049,3568.4143166368185
NCG54,OUT035,2780.94239834641
FDM44,OUT046,1678.2034344736817
FDT57,OUT018,3413.2142606190373
FDV24,OUT046,2369.635711729048
FDI50,OUT019,1710.7204506835262
FDS09,OUT035,1104.3527497603118
NCC31,OUT027,3861.4868349885733
FDQ07,OUT019,1570.3560600779094
FDC22,OUT017,3127.2816064612593
FDZ56,OUT046,2686.5134977821212
FDZ40,OUT019,-886.7626110244145
FDS46,OUT027,3392.0789039431997
DRD24,OUT045,2178.0225931934383
FDV45,OUT017,3076.1107171873227
FDL26,OUT045,2402.3300001392604
FDA56,OUT018,1738.9110946749902
FDN27,OUT046,1901.2545117692055
FDM20,OUT049,3893.6092714590463
FDO16,OUT017,1507.2173898711974
FDL03,OUT035,3249.545728230856
FDE58,OUT046,1865.6219302935856
FDI02,OUT027,3275.795627525314
NCC55,OUT019,-1192.377000544568
FDR03,OUT018,2987.901152054704
FDB14,OUT017,1662.1679460339803
FDR45,OUT013,3772.5792602048527
NCN07,OUT017,2178.643760182831
FDM51,OUT019,-145.53768410605505
FDT52,OUT027,5264.676501721282
FDL26,OUT046,2437.143782847012
NCZ42,OUT046,3677.8689670361714
DRI47,OUT019,456.85218419769467
FDW40,OUT013,2322.4472749602064
FDN34,OUT046,2710.53607794842
FDS01,OUT035,2961.6490133131792
NCG55,OUT045,1786.9058715791361
FDC11,OUT035,1578.889640068446
FDX35,OUT018,3287.5528220412066
NCB06,OUT046,2504.7436220358877
FDR09,OUT019,2147.006876225219
FDC53,OUT017,1723.1701314393008
FDY45,OUT013,3990.4304464530264
FDA22,OUT010,754.8653210773701
FDE02,OUT035,1702.4437496190938
FDW21,OUT045,1637.8254474510602
FDV34,OUT046,1307.5016795396925
FDS59,OUT049,1937.4107538080561
NCW17,OUT017,2147.7122949500335
NCK54,OUT046,1804.4971605622115
FDG17,OUT019,1966.8955471256693
FDG35,OUT017,2883.7181900134237
FDD08,OUT010,-1134.5765725347396
NCO07,OUT017,3381.1193548026713
FDJ10,OUT010,409.0743816793175
FDW36,OUT017,1811.7912010783205
FDW21,OUT010,-104.46172867600853
FDY19,OUT017,2023.8981623947707
DRE03,OUT013,889.3223243086405
NCC55,OUT049,786.1303113732872
FDH52,OUT010,-728.1369806091931
FDO09,OUT017,4203.267619634893
FDU43,OUT045,3686.948731205221
FDX09,OUT010,883.5188100450074
FDH40,OUT019,-431.8870969130986
FDW58,OUT017,1823.7420261733266
