Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186587
FDW14,OUT017,1364.04915399061
NCN55,OUT010,542.9755395973152
FDQ58,OUT017,2384.015126168223
FDY38,OUT027,5669.16335142857
FDH56,OUT046,1874.4309598591553
FDL48,OUT018,754.5960957264964
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1554.0070756410257
FDA36,OUT017,3087.5075112820473
FDT44,OUT017,1874.4309598591553
FDQ56,OUT045,1364.04915399061
NCC54,OUT019,542.9755395973152
FDU11,OUT049,2054.2157066202094
DRL59,OUT013,754.5960957264964
FDM24,OUT049,2384.015126168223
FDI57,OUT045,2880.969561363636
DRC12,OUT018,2880.969561363636
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973152
FDA31,OUT013,2736.9684298755183
NCJ31,OUT035,3593.141235125448
FDG52,OUT046,754.5960957264964
NCL19,OUT019,286.4177705128203
FDS10,OUT035,2880.969561363636
FDX22,OUT010,542.9755395973152
NCF19,OUT035,754.5960957264964
NCE06,OUT046,2384.015126168223
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591553
NCR42,OUT019,130.33349056603782
FDX51,OUT018,3087.5075112820473
NCR06,OUT018,637.5735090128754
FDU31,OUT027,5669.16335142857
FDU59,OUT017,2384.015126168223
FDR03,OUT027,5669.16335142857
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.4177705128203
NCF18,OUT017,2880.969561363636
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1936.5082478260867
FDY19,OUT010,286.4177705128203
NCY54,OUT017,2997.4076790419167
NCL19,OUT018,2346.648786938777
FDP23,OUT010,542.9755395973152
FDC26,OUT013,1722.331611173186
FDR14,OUT010,130.33349056603782
NCS41,OUT035,3389.226979354839
FDF41,OUT035,3593.141235125448
FDU34,OUT046,2054.2157066202094
DRH11,OUT046,876.3205797979801
FDM03,OUT013,1722.331611173186
FDS31,OUT017,3389.226979354839
FDJ20,OUT017,2054.2157066202094
FDV44,OUT027,5669.16335142857
FDG02,OUT049,3087.5075112820473
FDA09,OUT013,2736.9684298755183
FDT04,OUT013,637.5735090128754
FDL58,OUT019,542.9755395973152
FDE52,OUT045,1364.04915399061
FDW12,OUT035,2384.015126168223
FDL51,OUT017,3753.000099363057
